PERIOD,YEAR,STATS_VALUE
April,1984,0
May,1984,0
June,1984,0
January,1985,0
February,1985,0
March,1985,0
January,1986,0
February,1986,0
March,1986,0
April,1986,0
May,1986,0
June,1986,0
December,1986,0
January,1987,0
March,1987,0
April,1987,0
May,1987,0
June,1987,0
December,1987,0
April,1988,0
June,1988,0
June,1989,52.1
December,1990,0
April,1991,0
May,1991,0
April,1992,0
June,1992,0
January,1993,0
June,1993,34.6
November,1993,0
December,1993,0
January,1994,0
February,1994,0
March,1994,0
April,1994,0
May,1994,0
April,1995,0
May,1995,0
June,1995,129.9
October,1995,34.5
November,1995,0
December,1995,0
November,1996,0
February,1997,0
March,1997,0
April,1997,0
May,1997,0
June,1997,13
November,1997,0
December,1997,0
January,1998,0
February,1998,0
March,1998,0
August,1998,0
September,1998,11.9
October,1998,0
November,1998,0
December,1998,0
August,1999,31.8
December,1999,0
January,2000,0
February,2000,0
March,2000,0
April,2000,0
May,2000,0
June,2000,1.9
October,2000,80.7
November,2000,0
December,2000,0
February,2001,0
March,2001,0
April,2001,0
May,2001,0
June,2001,0
July,2001,9.5
August,2001,0.7
September,2001,0
October,2001,0
November,2001,0
December,2001,0
January,2002,0
February,2002,0
March,2002,0
April,2002,0
May,2002,21
June,2002,65.6
July,2002,22.6
August,2002,36.8
September,2002,0
October,2002,0
November,2002,0
December,2002,0
January,2003,0
February,2003,0
March,2003,0
April,2003,79.8
May,2003,13.1
June,2003,3.9
December,2003,0
January,2004,0
February,2004,0
March,2004,0
April,2004,0
May,2004,7.2
June,2004,58.2
July,2004,36.4
August,2004,93
September,2004,27.4
October,2004,0
November,2004,0
December,2004,0
January,2005,0
February,2005,0
March,2005,0
April,2005,0
May,2005,0
June,2005,27.1
December,2005,0
January,2006,0
February,2006,0
March,2006,0
April,2006,0
May,2006,49.1
June,2006,100.9
July,2006,31.8
August,2006,44.5
September,2006,0
October,2006,0
November,2006,0
December,2006,0
January,2007,0
February,2007,0
March,2007,0
April,2007,0
May,2007,0
June,2007,0
July,2007,26.1
August,2007,0
September,2007,0
October,2007,0
November,2007,0
December,2007,0
January,2008,0
February,2008,0
March,2008,0
April,2008,0
May,2008,0
June,2008,11.2
July,2008,94.8
August,2008,37
September,2008,5.4
October,2008,0
November,2008,0
December,2008,0
January,2009,0
February,2009,0
March,2009,0
April,2009,0
May,2009,0
June,2009,12.5
July,2009,38.9
August,2009,3.6
September,2009,0
October,2009,0
November,2009,0
December,2009,0
January,2010,0
February,2010,0
June,2010,79.8
July,2010,40.7
August,2010,78.3
September,2010,5.2
October,2010,0
November,2010,0
December,2010,0
January,2011,0
February,2011,0
March,2011,0
April,2011,0
May,2011,0
June,2011,0
July,2011,0
August,2011,0
September,2011,0
October,2011,18.6
November,2011,7.2
December,2011,0
January,2012,0
February,2012,0
March,2012,0
April,2012,0
May,2012,0
June,2012,32.1
July,2012,14.8
August,2012,177.4
September,2012,0
October,2012,0
November,2012,0
December,2012,0
January,2013,0
February,2013,0
March,2013,0
April,2013,0
May,2013,42.6
June,2013,161.7
July,2013,20.3
August,2013,0
September,2013,0
October,2013,0
November,2013,0
December,2013,0
January,2014,0
February,2014,0
September,2014,0
October,2014,0
November,2014,0
December,2014,0
January,2015,0
February,2015,0
March,2015,0
April,2015,0
May,2015,0
June,2015,34.9
July,2015,28.7
August,2015,30.2
September,2015,22.4
October,2015,0
November,2015,0
December,2015,0
January,2016,0
February,2016,0
March,2016,0
April,2016,0
May,2016,0
June,2016,0
July,2016,0
August,2016,37
September,2016,0
October,2016,0
November,2016,0
December,2016,0
January,2017,0
February,2017,0
March,2017,0
April,2017,0
May,2017,0
July,2017,117.5
August,2017,48.9
September,2017,29.1
October,2017,0
November,2017,0
December,2017,0
January,2018,0
February,2018,0
March,2018,0
June,2018,30.1
July,2018,32.4
August,2018,23.9
September,2018,24.8
October,2018,0
November,2018,0
December,2018,0
January,2019,0
February,2019,0
March,2019,0
April,2019,0
November,2019,0
December,2019,0
January,2020,0
February,2020,0
March,2020,0
April,2020,0
May,2020,0
June,2020,0
July,2020,0
August,2020,0
September,2020,0
October,2020,0
November,2020,0
December,2020,0
January,2021,0
February,2021,0
March,2021,0
April,2021,0
May,2021,0
June,2021,0
July,2021,0
August,2021,0
September,2021,0
October,2021,0
November,2021,0
December,2021,11.2
January,2022,0
February,2022,0
March,2022,0
April,2022,0
May,2022,0
June,2022,0
July,2022,140
August,2022,21.2
September,2022,8.8
October,2022,8.8
November,2022,0
December,2022,0
January,2023,0
February,2023,0
March,2023,0
April,2023,0
May,2023,0
June,2023,6.3
July,2023,181.4
August,2023,34.8
September,2023,0
October,2023,0
February,2024,0
March,2024,0
April,2024,0
May,2024,0
June,2024,0
August,2024,40.4
September,2024,3.8
October,2024,0
November,2024,0
December,2024,0
January,2025,0
February,2025,0
March,2025,0
April,2025,0
May,2025,0
June,2025,26.6
