"Total passenger movements (Annual-Dec)","","","","","",""
"","Arrivals","","Departures","","TOTAL",""
" ","Actual Counts","Counts Derived from a Sample","Actual Counts","Counts Derived from a Sample","Actual Counts","Counts Derived from a Sample"
2001,3293714,3292961,3260363,3260015,6554077,6552976
2002,3444369,3444083,3376210,3374263,6820579,6818346
2003,3580789,3577449,3534956,3533087,7115745,7110536
2004,4166878,4146620,4158268,4154272,8325146,8300892
2005,4341672,4317356,4346045,4342229,8687717,8659585
2006,4381585,4365650,4350855,4348286,8732440,8713936
2007,4531789,4520070,4524146,4521786,9055935,9041856
2008,4530764,4517234,4506509,4503791,9037273,9021025
2009,4480439,4464713,4436953,4434019,8917392,8898732
2010,4630313,4611804,4638686,4640224,9268999,9252028
2011,4776163,4766563,4794557,4801575,9570720,9568138
2012,4829582,4816733,4840894,4846232,9670476,9662965
2013,5037189,5027069,5009482,5016213,10046671,10043282
2014,5289611,5279931,5237455,5239593,10527066,10519524
2015,5722763,5719403,5649697,5653255,11372460,11372658
2016,6268441,6258063,6198006,6189675,12466447,12447738
2017,6715042,6697595,6664653,6650677,13379695,13348272
2018,7005234,6996947,6950854,6936964,13956088,13933911
2019,7100373,7100373,7066238,7066238,14166611,14166611
2020,1733521,1733521,1768271,1768271,3501792,3501792
2021,398556,398556,427802,427802,826358,826358
2022,2856072,2856072,2754602,2754602,5610674,5610674
2023,5825798,5825798,5698013,5698013,11523811,11523811
2024,6436681,6436681,6395241,6395241,12831922,12831922
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
"Actual series are counts derived from a sample of records from April 1975 to August 1997, and hence may contain sample error for these periods."
"Sampled series are derived from a sample of records and hence may contain sample error. Caution should be used when using data with low cell values."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"ITM054AA"
""
"Last updated:"
"17 February 2025 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
